name,serie,location,court,surface,totalrounds,bestof
Sofia Open,ATP250,Sofia,Indoor,Hard,5,3.0
Cordoba Open,ATP250,Cordoba,Outdoor,Clay,5,3.0
Hungarian Open,ATP250,Budapest,Outdoor,Clay,5,3.0
Rosmalen Grass Court Championships,ATP250,'s-Hertogenbosch,Outdoor,Grass,5,3.0
Queen's Club Championships,ATP500,Queens Club,Outdoor,Grass,5,3.0
Halle Open,ATP500,Halle,Outdoor,Grass,5,3.0
Zhuhai Open,ATP250,Zhuhai,Outdoor,Hard,5,3.0
Adelaide International,ATP250,Adelaide,Outdoor,Hard,5,3.0
Chile Open,ATP250,Santiago,Indoor,Clay,5,3.0
Forte Village Sardegna Open,ATP250,Sardinia,Outdoor,Clay,5,3.0
bett1HULKS Indoors,ATP250,Cologne,Indoor,Hard,5,3.0
bett1HULKS Championship,ATP250,Cologne,Indoor,Hard,5,3.0
Astana Open,ATP500,Nur-Sultan,Indoor,Hard,5,3.0
Great Ocean Road Open,ATP250,Melbourne,Outdoor,Hard,6,3.0
Murray River Open,ATP250,Melbourne,Outdoor,Hard,6,3.0
Singapore Open,ATP250,Singapore,Indoor,Hard,5,3.0
Miami Open,Masters 1000,Miami,Outdoor,Hard,7,3.0
AnyTech365 Andalucia Open,ATP250,Marbella,Outdoor,Hard,5,3.0
Sardegna Open,ATP250,Cagliari,Outdoor,Hard,5,3.0
Barcelona Open,ATP500,Barcelona,Outdoor,Clay,6,3.0
Belgrade Open,ATP250,Belgrade,Outdoor,Clay,5,3.0
Emilia-Romagna Open,ATP250,Parma,Outdoor,Clay,5,3.0
Mallorca Championships,ATP250,Mallorca,Outdoor,Grass,5,3.0
Viking International,ATP250,Eastbourne,Outdoor,Grass,5,3.0
Nordea Open,ATP250,Bastad,Outdoor,Clay,5,3.0
Mifel Open,ATP250,Los Cabos,Outdoor,Hard,5,3.0
Canadian Open,Masters 1000,Montreal,Outdoor,Hard,6,3.0
San Diego Open,ATP250,San Diego,Outdoor,Hard,5,3.0
Vienna Open,ATP500,Vienna,Indoor,Hard,5,3.0
Adelaide International 1,ATP250,Adelaide,Outdoor,Hard,5,3.0
Melbourne Summer Set,ATP250,Melbourne,Outdoor,Hard,5,3.0
Sydney Tennis Classic,ATP250,Sydney,Outdoor,Hard,5,3.0
Adelaide International 2,ATP250,Adelaide,Outdoor,Hard,5,3.0
Dallas Open,ATP250,Dallas,Indoor,Hard,5,3.0
Atlanta Open,ATP250,Atlanta,Outdoor,Hard,5,3.0
Los Cabos Open,ATP250,Los Cabos,Outdoor,Hard,5,3.0
Tel Aviv Open,ATP250,Tel Aviv,Indoor,Hard,5,3.0
Korea Open,ATP250,Seoul,Outdoor,Hard,5,3.0
Gijon Open,ATP250,Gijon,Indoor,Hard,5,3.0
Firenze Open,ATP250,Florence,Indoor,Hard,5,3.0
Napoli Cup,ATP250,Napoli,Outdoor,Hard,5,3.0
Srpska Open,ATP250,Banja Luka,Outdoor,Clay,5,3.0
Stuttgart Open,ATP250,Stuttgart,Outdoor,Grass,5,3.0
