player1_name,player1_atprank,player1_games,player1_wins,player1_losses,player1_indoor_wins,player1_indoor_losses,player1_outdoor_wins,player1_outdoor_losses,player2_name,player2_atprank,player2_games,player2_wins,player2_losses,player2_indoor_wins,player2_indoor_losses,player2_outdoor_wins,player2_outdoor_losses,tournament_name,tournament_location,tournament_court,tournament_surface,match_date,match_odd_player1,match_odd_player2,winner_player1
Norrie C.,13,287,172,115,15,18,157,97,Tiafoe F.,10,303,158,145,24,23,134,122,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-12,2.1,1.72,1
Hurkacz H.,17,238,137,101,27,24,110,77,Harrison C.,251,15,6,9,0,0,6,9,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-12,1.36,3.2,1
Norrie C.,13,287,172,115,15,18,157,97,Korda S.,26,126,75,51,15,9,60,42,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-13,2.2,1.66,0
Hurkacz H.,17,238,137,101,27,24,110,77,Korda S.,26,126,75,51,15,9,60,42,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-13,1.8,2.0,1
Bublik A.,25,219,110,109,39,30,71,79,De Minaur A.,19,272,161,111,30,19,131,92,Antalya Open,Antalya,Indoor,Hard,2021-01-13,4.5,1.2,0
Vukic A.,62,36,15,21,2,1,13,20,Lu Y.,625,11,1,10,0,0,1,10,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-01-31,1.16,5.0,1
Djere L.,38,243,120,123,10,22,110,101,Majchrzak K.,121,50,19,31,3,4,16,27,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-01-31,2.75,1.4,0
Uchiyama Y.,314,33,9,24,1,3,8,21,Bedene A.,347,291,131,160,18,23,113,137,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-01-31,2.75,1.4,0
Polmans M.,165,19,5,14,0,3,5,11,Bourchier H.,324,2,1,1,0,0,1,1,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,1.44,2.62,0
Cilic M.,100,853,543,310,119,65,424,245,Chardy J.,542,591,289,302,44,48,245,254,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,1.66,2.1,0
Nagal S.,503,17,3,14,0,1,3,13,Berankis R.,212,249,104,145,36,31,68,114,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,3.5,1.28,0
Bolt A.,345,40,13,27,0,0,13,27,Kokkinakis T.,86,124,55,69,0,4,55,65,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,3.25,1.33,1
Moutet C.,80,118,50,68,5,11,45,57,Tiafoe F.,10,303,158,145,24,23,134,122,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,3.0,1.36,1
Tu L.,252,5,1,4,0,0,1,4,Sousa P.,475,36,9,27,1,3,8,24,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,1.4,2.75,0
Mannarino A.,27,567,264,303,60,73,204,230,Ymer M.,59,130,58,72,18,23,40,49,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,1.4,2.75,1
Mcdonald M.,60,190,87,103,11,15,76,88,Gasquet R.,48,948,581,367,133,82,448,285,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,2.62,1.44,1
Albot R.,97,215,86,129,26,26,60,103,Coria F.,108,99,43,56,2,6,41,50,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,1.28,3.5,0
Kubler J.,77,53,24,29,0,1,24,28,Sonego L.,43,221,107,114,19,17,88,97,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,3.0,1.36,1
Cecchinato M.,108,204,79,125,2,14,77,111,Fucsovics M.,67,249,121,128,26,24,95,104,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,5.5,1.14,0
