name,ATPRank,games,wins,loses,players_odds,indoors_win,indoors_loss,outdoors_win,outdoors_loss,ratio_win,players_indoors_win_ratio,players_outdoors_win_ratio
Viola Mat.,148,2,0,2,,0,1,0,1,0.0,0.0,0.0
Virtanen O.,127,2,0,2,,0,0,0,2,0.0,,0.0
Vliegen K.,307,184,78,106,2.8080965489989462,19,21,59,85,0.42391304347826086,0.475,0.4097222222222222
Volandri F.,226,344,149,195,2.889173994118913,9,21,140,174,0.4331395348837209,0.3,0.445859872611465
Voltchkov V.,182,7,2,5,2.63905,1,1,1,4,0.2857142857142857,0.5,0.2
Vovk S.,1216,1,0,1,,0,1,0,0,0.0,0.0,
Vrbensky M.,311,1,0,1,,0,1,0,0,0.0,0.0,
Vukic A.,62,36,15,21,2.5793809523809523,2,1,13,20,0.4166666666666667,0.6666666666666666,0.3939393939393939
Wachiramanowong K.,523,3,0,3,,0,3,0,0,0.0,0.0,
Wagh A.,0,1,0,1,,0,1,0,0,0.0,0.0,
Walter L.,287,1,0,1,,0,0,0,1,0.0,,0.0
Wang C.,553,2,1,1,9.0,0,0,1,1,0.5,,0.5
Wang J.,118,21,8,13,3.2606730769230765,1,1,7,12,0.38095238095238093,0.5,0.3684210526315789
Wang Y.,88,3,0,3,,0,0,0,3,0.0,,0.0
Wang Y. Jr,401,2,1,1,,0,0,1,1,0.5,,0.5
Wang Y.Jr.,484,1,0,1,,0,0,0,1,0.0,,0.0
Wang Y.T.,164,40,14,26,3.7534027777777776,5,7,9,19,0.35,0.4166666666666667,0.32142857142857145
Warburg S.,169,15,5,10,3.8320000000000003,2,4,3,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
Ward A.,869,4,0,4,,0,0,0,4,0.0,,0.0
Ward J.,340,65,15,50,3.599598639455783,1,2,14,48,0.23076923076923078,0.3333333333333333,0.22580645161290322
Washington M.,864,1,0,1,,0,0,0,1,0.0,,0.0
Waske A.,139,60,21,39,2.8128364153627317,3,5,18,34,0.35,0.375,0.34615384615384615
Wassen R.,542,2,1,1,,1,1,0,0,0.5,0.5,
Watanuki Y.,99,25,11,14,3.175974025974026,0,0,11,14,0.44,,0.44
Wawrinka S.,72,854,535,319,2.2231002479862214,84,69,451,250,0.6264637002341921,0.5490196078431373,0.6433666191155493
Wawrinka S. ,21,3,2,1,2.985,2,1,0,0,0.6666666666666666,0.6666666666666666,
Weiner G.,230,21,7,14,2.616185897435898,0,2,7,12,0.3333333333333333,0.0,0.3684210526315789
Weintraub A.,0,6,1,5,4.022,0,0,1,5,0.16666666666666666,,0.16666666666666666
Wessels L.,347,3,1,2,8.0825,0,0,1,2,0.3333333333333333,,0.3333333333333333
Wessels P.,200,30,12,18,2.9228529411764708,0,5,12,13,0.4,0.0,0.48
Westerhof B.,236,1,0,1,,0,0,0,1,0.0,,0.0
Whitehouse W.,373,10,4,6,3.222,0,0,4,6,0.4,,0.4
