player1_name,player1_atprank,player1_games,player1_wins,player1_loses,player2_name,player2_atprank,player2_games,player2_wins,player2_loses,match_date,match_location,match_tournament,match_surface,match_odd_player1,match_odd_player2,winner_player1
Van De Zandschulp B.,44,117,63,54,Opelka R.,17,168,88,80,2021-02-04,Melbourne,Great Ocean Road Open,Hard,3.0,1.4,1
Caruso S.,146,63,19,44,Kecmanovic M.,40,210,107,103,2021-02-04,Melbourne,Great Ocean Road Open,Hard,2.75,1.44,0
Bublik A.,25,219,110,109,Travaglia S.,1024,81,27,54,2021-02-04,Melbourne,Great Ocean Road Open,Hard,1.66,2.2,0
Vilella Martinez M.,167,10,4,6,Thompson J.,71,221,96,125,2021-02-04,Melbourne,Great Ocean Road Open,Hard,3.5,1.3,0
Evans D.,30,251,124,127,Giron M.,69,150,68,82,2021-02-05,Melbourne,Murray River Open,Hard,1.53,2.5,1
Moutet C.,80,118,50,68,Duckworth J.,123,143,55,88,2021-02-05,Melbourne,Murray River Open,Hard,1.72,2.1,1
Berankis R.,212,249,104,145,Vesely J.,528,288,130,158,2021-02-05,Melbourne,Murray River Open,Hard,1.8,2.0,0
Bolt A.,345,40,13,27,Wawrinka S.,72,854,535,319,2021-02-05,Melbourne,Murray River Open,Hard,3.5,1.3,0
Auger-Aliassime F.,12,268,163,105,Gerasimov E.,150,93,43,50,2021-02-05,Melbourne,Murray River Open,Hard,1.36,3.2,1
Dimitrov G.,20,651,389,262,Popyrin A.,90,140,59,81,2021-02-05,Melbourne,Murray River Open,Hard,1.4,3.0,1
Coric B.,15,343,185,158,Evans D.,30,251,124,127,2021-02-05,Melbourne,Murray River Open,Hard,1.5,2.62,0
Fritz T.,9,356,205,151,Chardy J.,542,591,289,302,2021-02-05,Melbourne,Murray River Open,Hard,1.57,2.37,0
Kyrgios N.,25,303,195,108,Coric B.,15,343,185,158,2021-02-05,Melbourne,Murray River Open,Hard,2.1,1.72,0
Chardy J.,542,591,289,302,Wawrinka S.,72,854,535,319,2021-02-05,Melbourne,Murray River Open,Hard,1.9,1.9,1
Cuevas P.,149,421,210,211,Hurkacz H.,17,238,137,101,2021-02-05,Melbourne,Great Ocean Road Open,Hard,4.33,1.22,0
Thompson J.,71,221,96,125,Monteiro T.,121,171,69,102,2021-02-05,Melbourne,Great Ocean Road Open,Hard,1.44,2.75,0
Sinner J.,8,224,153,71,Kecmanovic M.,40,210,107,103,2021-02-05,Melbourne,Great Ocean Road Open,Hard,1.28,3.75,1
Khachanov K.,11,378,217,161,Van De Zandschulp B.,44,117,63,54,2021-02-05,Melbourne,Great Ocean Road Open,Hard,1.3,3.5,1
Travaglia S.,1024,81,27,54,Hurkacz H.,17,238,137,101,2021-02-05,Melbourne,Great Ocean Road Open,Hard,3.0,1.4,1
Dimitrov G.,20,651,389,262,Moutet C.,80,118,50,68,2021-02-05,Melbourne,Murray River Open,Hard,,,0
Vesely J.,528,288,130,158,Auger-Aliassime F.,12,268,163,105,2021-02-05,Melbourne,Murray River Open,Hard,2.62,1.5,0
Evans D.,30,251,124,127,Chardy J.,542,591,289,302,2021-02-06,Melbourne,Murray River Open,Hard,1.72,2.1,1
Moutet C.,80,118,50,68,Auger-Aliassime F.,12,268,163,105,2021-02-06,Melbourne,Murray River Open,Hard,3.0,1.4,0
Sinner J.,8,224,153,71,Khachanov K.,11,378,217,161,2021-02-06,Melbourne,Great Ocean Road Open,Hard,1.44,2.75,1
Travaglia S.,1024,81,27,54,Monteiro T.,121,171,69,102,2021-02-06,Melbourne,Great Ocean Road Open,Hard,1.72,2.1,1
Sinner J.,8,224,153,71,Travaglia S.,1024,81,27,54,2021-02-07,Melbourne,Great Ocean Road Open,Hard,1.25,4.0,1
Evans D.,30,251,124,127,Auger-Aliassime F.,12,268,163,105,2021-02-07,Melbourne,Murray River Open,Hard,2.2,1.66,1
Humbert U.,36,170,80,90,Uchiyama Y.,314,33,9,24,2021-02-08,Melbourne,Australian Open,Hard,1.14,5.5,1
Muller A.,81,22,9,13,Londero J.I.,142,83,34,49,2021-02-08,Melbourne,Australian Open,Hard,1.8,2.0,1
Nishikori K.,439,617,408,209,Carreno Busta P.,16,352,214,138,2021-02-08,Melbourne,Australian Open,Hard,3.4,1.33,0
Travaglia S.,1024,81,27,54,Tiafoe F.,10,303,158,145,2021-02-08,Melbourne,Australian Open,Hard,3.75,1.28,0
Dimitrov G.,20,651,389,262,Cilic M.,100,853,543,310,2021-02-08,Melbourne,Australian Open,Hard,1.5,2.62,1
Koepfer D.,84,86,38,48,Dellien H.,164,70,22,48,2021-02-08,Melbourne,Australian Open,Hard,1.22,4.33,1
Lajovic D.,66,378,163,215,Stakhovsky S.,200,339,145,194,2021-02-08,Melbourne,Australian Open,Hard,1.36,3.2,1
