match_id,tourney_slug,match_stats_url_suffix,match_time,match_duration,winner_player_id,winner_serve_rating,winner_aces,winner_double_faults,winner_first_serves_in,winner_first_serves_total,winner_first_serve_points_won,winner_first_serve_points_total,winner_second_serve_points_won,winner_second_serve_points_total,winner_break_points_saved,winner_break_points_serve_total,winner_service_games_played,winner_return_rating,winner_first_serve_return_won,winner_first_serve_return_total,winner_second_serve_return_won,winner_second_serve_return_total,winner_break_points_converted,winner_break_points_return_total,winner_return_games_played,winner_service_points_won,winner_service_points_total,winner_return_points_won,winner_return_points_total,winner_total_points_won,winner_total_points_total,loser_player_id,loser_serve_rating,loser_aces,loser_double_faults,loser_first_serves_in,loser_first_serves_total,loser_first_serve_points_won,loser_first_serve_points_total,loser_second_serve_points_won,loser_second_serve_points_total,loser_break_points_saved,loser_break_points_serve_total,loser_service_games_played,loser_return_rating,loser_first_serve_return_won,loser_first_serve_return_total,loser_second_serve_return_won,loser_second_serve_return_total,loser_break_points_converted,loser_break_points_return_total,loser_return_games_played,loser_service_points_won,loser_service_points_total,loser_return_points_won,loser_return_points_total,loser_total_points_won,loser_total_points_total
2023-2843-2023-3-6-hb64-tc61,adelaide,/en/scores/stats-centre/archive/2023/2843/ms017,01:16:46,76,hb64,336,14,2,30,47,27,30,13,17,0,0,10,149,12,38,15,27,2,5,9,40,47,27,65,67,112,tc61,250,5,4,38,65,26,38,12,27,3,5,9,34,3,30,4,17,0,0,10,38,65,7,47,45,112
2023-2843-2023-3-5-ki95-o483,adelaide,/en/scores/stats-centre/archive/2023/2843/ms021,01:34:46,94,ki95,276,4,4,42,74,24,42,23,32,5,6,10,178,8,31,15,24,3,5,10,47,74,23,55,70,129,o483,242,9,2,31,55,23,31,9,24,2,5,10,98,18,42,9,32,1,6,10,32,55,27,74,59,129
2023-2843-2023-3-4-kd46-c0bc,adelaide,/en/scores/stats-centre/archive/2023/2843/ms025,02:11:32,131,kd46,326,21,0,52,72,45,52,13,20,3,4,12,90,12,50,13,32,1,6,12,58,72,25,82,83,154,c0bc,294,20,8,50,82,38,50,19,32,5,6,12,82,7,52,7,20,1,4,12,57,82,14,72,71,154
2023-2843-2023-3-3-k0ah-mc10,adelaide,/en/scores/stats-centre/archive/2023/2843/ms026,01:56:00,116,k0ah,301,12,1,39,64,34,39,14,25,4,5,11,143,9,36,19,33,2,5,10,48,64,28,69,76,133,mc10,250,3,2,36,69,27,36,14,33,3,5,10,86,5,39,11,25,1,5,11,41,69,16,64,57,133
2023-2843-2023-3-2-mk66-ge33,adelaide,/en/scores/stats-centre/archive/2023/2843/ms029,00:40:40,40,mk66,306,4,1,14,20,14,14,2,6,0,0,4,233,9,25,8,14,2,2,5,16,20,17,39,33,59,ge33,232,2,1,25,39,16,25,6,14,0,2,5,67,0,14,4,6,0,0,4,22,39,4,20,26,59
2023-2843-2023-3-1-sx50-y268,adelaide,/en/scores/stats-centre/archive/2023/2843/ms018,01:34:10,94,sx50,292,4,3,40,65,31,40,13,25,5,5,9,163,16,36,12,25,3,8,9,44,65,28,61,72,126,y268,233,2,3,36,61,20,36,13,25,5,8,9,71,9,40,12,25,0,5,9,33,61,21,65,54,126
2023-2843-2023-2-4-kf17-da81,adelaide,/en/scores/stats-centre/archive/2023/2843/qs004,02:57:39,177,kf17,286,8,7,70,126,58,70,30,56,6,7,17,69,21,78,17,40,0,1,17,88,126,38,118,126,244,da81,301,15,2,78,118,57,78,23,40,1,1,17,84,12,70,26,56,1,7,17,80,118,38,126,118,244
2023-2843-2023-2-3-sx50-pd07,adelaide,/en/scores/stats-centre/archive/2023/2843/qs006,02:35:06,155,sx50,314,10,0,62,87,46,62,18,25,3,4,15,143,15,46,21,46,4,11,14,64,87,36,92,100,179,pd07,245,13,8,46,92,31,46,25,46,7,11,14,85,16,62,7,25,1,4,15,56,92,23,87,79,179
2023-2843-2023-2-2-h0bh-d994,adelaide,/en/scores/stats-centre/archive/2023/2843/qs007,01:39:36,99,h0bh,277,7,4,40,74,31,40,18,34,6,7,11,136,10,40,18,36,3,9,11,49,74,28,76,77,150,d994,253,7,2,40,76,30,40,18,36,6,9,11,93,9,40,16,34,1,7,11,48,76,25,74,73,150
2023-2843-2023-2-1-p09z-wb32,adelaide,/en/scores/stats-centre/archive/2023/2843/qs005,02:22:46,142,p09z,270,15,3,65,94,47,65,13,29,1,4,15,185,26,80,22,36,4,6,16,60,94,48,116,108,210,wb32,252,10,5,80,116,54,80,14,36,2,6,16,178,18,65,16,29,3,4,15,68,116,34,94,102,210
2023-2843-2023-1-8-kf17-tb69,adelaide,/en/scores/stats-centre/archive/2023/2843/qs008,01:14:04,74,kf17,268,8,4,31,51,21,31,12,20,0,2,9,230,17,32,13,22,5,9,8,33,51,30,54,63,105,tb69,187,6,2,32,54,15,32,9,22,4,9,8,194,10,31,8,20,2,2,9,24,54,18,51,42,105
2023-2843-2023-1-7-wb32-hh26,adelaide,/en/scores/stats-centre/archive/2023/2843/qs010,01:20:15,80,wb32,303,5,1,42,65,32,42,16,23,3,4,11,160,15,40,9,17,2,4,10,48,65,24,57,72,122,hh26,261,3,0,40,57,25,40,8,17,2,4,10,88,10,42,7,23,1,4,11,33,57,17,65,50,122
2023-2843-2023-1-6-sx50-h997,adelaide,/en/scores/stats-centre/archive/2023/2843/qs012,02:29:59,149,sx50,312,9,1,68,92,51,68,16,24,5,6,16,128,22,66,19,45,3,9,16,67,92,41,111,108,203,h997,267,8,1,66,111,44,66,26,45,6,9,16,81,17,68,8,24,1,6,16,70,111,25,92,95,203
2023-2843-2023-1-5-h0bh-bk24,adelaide,/en/scores/stats-centre/archive/2023/2843/qs014,01:08:05,68,h0bh,319,3,1,30,47,25,30,12,17,0,0,9,177,11,32,18,29,3,7,8,37,47,29,61,66,108,bk24,219,3,3,32,61,21,32,11,29,4,7,8,46,5,30,5,17,0,0,9,32,61,10,47,42,108
2023-2843-2023-1-4-da81-w0c4,adelaide,/en/scores/stats-centre/archive/2023/2843/qs009,01:03:56,63,da81,313,5,0,28,39,21,28,7,11,3,3,6,275,15,28,13,16,6,11,7,28,39,28,44,56,83,w0c4,143,0,1,28,44,13,28,3,16,5,11,7,61,7,28,4,11,0,3,6,16,44,11,39,27,83
2023-2843-2023-1-3-d994-s0s1,adelaide,/en/scores/stats-centre/archive/2023/2843/qs015,01:33:34,93,d994,321,12,2,36,60,32,36,16,24,1,1,11,104,16,51,18,34,1,10,10,48,60,34,85,82,145,s0s1,267,8,6,51,85,35,51,16,34,9,10,10,44,4,36,8,24,0,1,11,51,85,12,60,63,145
