index,match_id,match_date,match_round_order,match_order,player1_name,player1_id,player1_weight,player1_height,player1_birthdate,player1_turned_pro,player1_atprank,player1_oddsB365,player1_oddsPS,player2_name,player2_id,player2_weight,player2_height,player2_birthdate,player2_turned_pro,player2_atprank,player2_oddsB365,player2_oddsPS,winner_player1,player1_plays,player1_wins,player1_losses,player1_age,player1_mean_serve_rating,player1_mean_atp_adversary,player1_elo,player2_plays,player2_wins,player2_losses,player2_age,player2_mean_serve_rating,player2_mean_atp_adversary,player2_elo,player1_c1,player1_c2,player1_c3,player1_c4,player1_c5,player2_c1,player2_c2,player2_c3,player2_c4,player2_c5
39213,2011-339-ms020-4-13-f339-me82,2011-01-04,5,4,Mardy Fish,f339,82.0,188.0,1981-12-09,2000.0,16.0,1.22,1.29,Adrian Mannarino,me82,79.0,180.0,1988-06-29,2004.0,83.0,4.0,3.96,1,347,199,148,29.07049965776865,270.9776078843436,73.78982751595817,22110.0,11,2,9,22.5160848733744,242.86111111111111,74.08333333333334,-2250.0,0.0,0.0,8.0,352.0,21992.0,0.0,0.0,0.0,10.0,510.0
39214,2011-339-ms028-4-12-b837-s963,2011-01-04,5,5,Marcos Baghdatis,b837,82.0,178.0,1985-06-17,2003.0,20.0,1.22,1.19,Florent Serra,s963,78.0,180.0,1981-02-28,2000.0,69.0,4.0,5.32,1,252,147,105,25.54962354551677,259.1597595473833,70.31632653061224,21570.0,252,112,140,29.848049281314168,256.4379606879607,69.49910714285714,-11400.0,0.0,1.0,45.0,2768.0,175535.0,0.0,0.0,23.0,1684.0,106420.0
39218,2011-339-ms025-4-8-a678-l515,2011-01-04,5,9,Kevin Anderson,a678,94.0,203.0,1986-05-18,2007.0,61.0,,,Peter Luczak,l515,77.0,183.0,1979-08-31,2000.0,137.0,,,1,53,22,31,24.63244353182752,284.053448275862,63.565249266862175,-4350.0,110,35,75,31.345653661875428,261.46026785714287,86.06571428571428,-13710.0,0.0,0.0,4.0,274.0,18802.0,0.0,0.0,5.0,194.0,12881.0
39219,2011-339-ms022-4-7-be90-c487,2011-01-04,5,10,Ricardas Berankis,be90,77.0,175.0,1990-06-21,2007.0,87.0,1.53,1.53,Arnaud Clement,c487,74.0,173.0,1977-12-17,1996.0,78.0,2.37,2.67,1,8,4,4,20.539356605065024,259.25,85.5,1950.0,355,166,189,33.04859685147159,259.9292456177702,70.0483043284248,-11310.0,0.0,0.0,0.0,76.0,4382.0,0.0,0.0,2.0,148.0,9184.0
39222,2011-339-ms018-4-4-e690-mh30,2011-01-04,5,13,Matthew Ebden,e690,80.0,188.0,1987-11-26,2006.0,196.0,1.57,1.62,John Millman,mh30,79.0,183.0,1989-06-14,2006.0,204.0,2.25,2.43,1,3,1,2,23.107460643394933,298.5,30.0,-750.0,1,0,1,21.557837097878167,,,-300.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0
39225,2011-339-ms021-4-1-s694-k839,2011-01-04,5,16,Radek Stepanek,s694,76.0,185.0,1978-11-27,1996.0,62.0,1.36,1.42,Tobias Kamke,k839,76.0,178.0,1986-05-21,2004.0,67.0,3.0,3.07,1,375,227,148,32.10403832991102,267.53958401572226,66.42725324443387,360.0,16,7,9,24.62422997946612,241.5,63.11904761904762,-300.0,0.0,0.0,4.0,330.0,20762.0,0.0,0.0,1.0,136.0,9255.0
39269,2011-451-ms016-4-16-n409-b804,2011-01-04,5,1,Rafael Nadal,n409,85.0,185.0,1986-06-03,2001.0,1.0,1.005,1.01,Karol Beck,b804,74.0,180.0,1982-04-03,2001.0,103.0,21.0,31.0,1,482,399,83,24.588637919233403,269.4295646336785,49.80238246217954,79830.0,133,48,85,28.75564681724846,249.78395399780945,78.10698529411765,-10080.0,0.0,1.0,45.0,2888.0,189055.0,0.0,0.0,8.0,725.0,45288.0
39270,2011-451-ms031-4-15-f324-sj63,2011-01-04,5,2,Roger Federer,f324,85.0,185.0,1981-08-08,1998.0,2.0,,1.01,Thomas Schoorel,sj63,,203.0,1989-04-08,,168.0,21.0,41.0,1,649,560,89,29.4072553045859,276.72341496142235,41.06855939004815,121110.0,1,0,1,21.741273100616016,,,-1500.0,0.0,0.0,1.0,45.0,3205.0,0.0,0.0,0.0,0.0,0.0
39273,2011-451-ms019-4-12-g858-h528,2011-01-04,5,5,Ernests Gulbis,g858,85.0,191.0,1988-08-30,2004.0,24.0,1.36,1.44,Victor Hanescu,h528,88.0,198.0,1981-07-21,2000.0,51.0,3.0,2.99,1,143,74,69,22.34633812457221,272.0853386809269,63.3527222875049,4980.0,264,126,138,29.45653661875428,273.357782369146,85.97912353347135,-3870.0,0.0,0.0,33.0,1730.0,109324.0,0.0,0.0,22.0,1399.0,87481.0
39274,2011-451-ms028-4-11-t840-sc77,2011-01-04,5,6,Viktor Troicki,t840,86.0,193.0,1986-02-10,2006.0,28.0,1.36,1.42,Sergiy Stakhovsky,sc77,80.0,193.0,1986-01-06,2003.0,46.0,3.0,3.09,1,158,83,75,24.89801505817933,259.0078030171666,60.83020080321285,13800.0,84,41,43,24.993839835728952,263.1832317073171,83.67895632444696,1710.0,0.0,1.0,18.0,758.0,45838.0,0.0,1.0,9.0,455.0,28168.0
