match_id,tourney_slug,match_stats_url_suffix,match_time,match_duration,winner_player_id,winner_serve_rating,winner_aces,winner_double_faults,winner_first_serves_in,winner_first_serves_total,winner_first_serve_points_won,winner_first_serve_points_total,winner_second_serve_points_won,winner_second_serve_points_total,winner_break_points_saved,winner_break_points_serve_total,winner_service_games_played,winner_return_rating,winner_first_serve_return_won,winner_first_serve_return_total,winner_second_serve_return_won,winner_second_serve_return_total,winner_break_points_converted,winner_break_points_return_total,winner_return_games_played,winner_service_points_won,winner_service_points_total,winner_return_points_won,winner_return_points_total,winner_total_points_won,winner_total_points_total,loser_player_id,loser_serve_rating,loser_aces,loser_double_faults,loser_first_serves_in,loser_first_serves_total,loser_first_serve_points_won,loser_first_serve_points_total,loser_second_serve_points_won,loser_second_serve_points_total,loser_break_points_saved,loser_break_points_serve_total,loser_service_games_played,loser_return_rating,loser_first_serve_return_won,loser_first_serve_return_total,loser_second_serve_return_won,loser_second_serve_return_total,loser_break_points_converted,loser_break_points_return_total,loser_return_games_played,loser_service_points_won,loser_service_points_total,loser_return_points_won,loser_return_points_total,loser_total_points_won,loser_total_points_total
2023-8998-2023-4-5-bd06-h756,adelaide,/en/scores/stats-centre/archive/2023/8998/ms010,01:58:00,118,bd06,285,11,2,55,83,40,55,16,28,3,5,14,126,16,51,23,47,3,13,13,56,83,39,98,95,181,h756,250,6,1,51,98,35,51,24,47,10,13,13,124,15,55,12,28,2,5,14,59,98,27,83,86,181
2023-8998-2023-4-4-ki95-kb95,adelaide,/en/scores/stats-centre/archive/2023/8998/ms009,02:34:04,154,ki95,286,14,1,54,92,43,54,23,38,1,4,17,132,22,72,19,41,3,8,17,66,92,41,113,107,205,kb95,275,19,3,72,113,50,72,22,41,5,8,17,152,11,54,15,38,3,4,17,72,113,26,92,98,205
2023-8998-2023-4-3-dh50-mh30,adelaide,/en/scores/stats-centre/archive/2023/8998/ms011,01:14:33,74,dh50,303,4,1,35,53,26,35,13,18,2,3,9,179,11,29,13,23,4,10,9,39,53,24,52,63,105,mh30,215,1,4,29,52,18,29,10,23,6,10,9,98,9,35,5,18,1,3,9,28,52,14,53,42,105
2023-8998-2023-4-2-d0co-pl56,adelaide,/en/scores/stats-centre/archive/2023/8998/ms012,01:31:06,91,d0co,294,10,1,33,57,29,33,13,24,3,4,10,172,11,34,12,24,3,5,10,42,57,23,58,65,115,pl56,248,5,1,34,58,23,34,12,24,2,5,10,93,4,33,11,24,1,4,10,35,58,15,57,50,115
2023-8998-2023-4-1-y268-mk66,adelaide,/en/scores/stats-centre/archive/2023/8998/ms014,03:00:19,180,y268,231,4,8,99,136,64,99,12,37,14,20,16,162,26,62,20,38,5,16,14,76,136,46,100,122,236,mk66,231,5,7,62,100,36,62,18,38,11,16,14,170,35,99,25,37,6,20,16,54,100,60,136,114,236
2023-8998-2023-3-12-mk66-e687,adelaide,/en/scores/stats-centre/archive/2023/8998/ms028,01:48:21,108,mk66,257,8,2,40,73,29,40,17,33,1,4,12,206,21,52,16,26,5,8,12,46,73,37,78,83,151,e687,223,2,3,52,78,31,52,10,26,3,8,12,176,11,40,16,33,3,4,12,41,78,27,73,68,151
2023-8998-2023-3-11-ki95-e831,adelaide,/en/scores/stats-centre/archive/2023/8998/ms019,01:24:23,84,ki95,310,7,2,39,60,35,39,11,21,2,2,11,189,8,35,14,29,2,2,11,46,60,22,64,68,124,e831,268,11,6,35,64,27,35,15,29,0,2,11,58,4,39,10,21,0,2,11,42,64,14,60,56,124
2023-8998-2023-3-10-dh50-n0ae,adelaide,/en/scores/stats-centre/archive/2023/8998/ms023,01:35:03,95,dh50,308,4,1,45,70,37,45,15,25,5,5,10,167,8,40,15,25,2,3,10,52,70,23,65,75,135,n0ae,263,6,3,40,65,32,40,10,25,1,3,10,58,8,45,10,25,0,5,10,42,65,18,70,60,135
2023-8998-2023-3-9-pl56-o483,adelaide,/en/scores/stats-centre/archive/2023/8998/ms024,01:28:32,88,pl56,331,6,0,39,57,32,39,14,18,1,1,11,140,9,41,15,25,2,5,11,46,57,24,66,70,123,o483,265,7,1,41,66,32,41,10,25,3,5,11,40,7,39,4,18,0,1,11,42,66,11,57,53,123
2023-8998-2023-3-8-d0co-su87,adelaide,/en/scores/stats-centre/archive/2023/8998/ms025,01:22:34,82,d0co,299,2,1,27,44,21,27,12,17,3,4,9,195,12,26,13,24,4,8,9,33,44,25,50,58,94,su87,208,2,1,26,50,14,26,11,24,4,8,9,88,6,27,5,17,1,4,9,25,50,11,44,36,94
2023-8998-2023-3-7-h756-bm95,adelaide,/en/scores/stats-centre/archive/2023/8998/ms021,02:10:02,130,h756,263,13,2,57,100,42,57,23,43,1,5,16,144,19,63,24,52,3,6,17,65,100,43,115,108,215,bm95,265,16,3,63,115,44,63,28,52,3,6,17,178,15,57,20,43,4,5,16,72,115,35,100,107,215
2023-8998-2023-3-6-hh06-rc91,adelaide,/en/scores/stats-centre/archive/2023/8998/ms026,02:29:47,149,hh06,297,11,3,64,96,54,64,16,32,1,2,16,93,14,66,23,45,1,7,16,70,96,37,111,107,207,rc91,282,11,7,66,111,52,66,22,45,6,7,16,122,10,64,16,32,1,2,16,74,111,26,96,100,207
2023-8998-2023-3-5-kd46-p09z,adelaide,/en/scores/stats-centre/archive/2023/8998/ms017,02:44:48,164,kd46,290,11,2,67,101,50,67,18,34,5,6,15,173,10,51,31,48,5,9,15,68,101,41,99,109,200,p09z,235,11,8,51,99,41,51,17,48,4,9,15,96,17,67,16,34,1,6,15,58,99,33,101,91,200
